school_name,site_slug
ANGLO-CHINESE SCHOOL (JUNIOR),anglo-chinese-junior
ANGLO-CHINESE SCHOOL (PRIMARY),anglo-chinese-primary
CHIJ PRIMARY (TOA PAYOH),chij-toa-payoh
CHIJ ST. NICHOLAS GIRLS' SCHOOL,chij-st-nicholas-girls
FAIRFIELD METHODIST SCHOOL (PRIMARY),fairfield-methodist
GEYLANG METHODIST SCHOOL (PRIMARY),geylang-methodist
HAIG GIRLS' SCHOOL,haig-girls
HOLY INNOCENTS' PRIMARY SCHOOL,holy-innocents
METHODIST GIRLS' SCHOOL (PRIMARY),methodist-girls
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),paya-lebar-methodist-girls
RAFFLES GIRLS' PRIMARY SCHOOL,raffles-girls
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,singapore-chinese-girls
ST ANDREW'S SCHOOL (JUNIOR),st-andrew-junior
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,st-anthony-canossian
ST. ANTHONY'S PRIMARY SCHOOL,st-anthony
ST. GABRIEL'S PRIMARY SCHOOL,st-gabriel
ST. HILDA'S PRIMARY SCHOOL,st-hilda
ST. JOSEPH'S INSTITUTION JUNIOR,st-joseph-institution-junior
ST. MARGARET'S SCHOOL (PRIMARY),st-margaret
ST. STEPHEN'S SCHOOL,st-stephen
